KAMPALA	UGANDAN / PRES / VOICE / KENYA / AMCITS / INVASION / COMMONWEALTH / CORE / UNQTE / NAIROBI
AMEMBAESY KAMPALA	GHANAIAN / UGANDAN / IRRESPECTIVE / ONGOING / WITHDRAWAL / SPREAD / NORWAY / HALT / NAVY / PARTIAL
KARACHI	PAKISTAN / TIGER / GOP / CONGEN / PROVINCIAL / ONE / COTTON / REF / TEXTILE / PPP
KATHMANDU	NEPALESE / INDIA / CARGO / INDIAN / HECK / MINISTER / DELHI / EMBASSY / PALACE / PRIME
KHARTOUM	SUDAN / SUDANESE / ARAB / COMMENT / PRESIDENT / USG / ETHIOPIAN / FONMIN / SUPPORT / ETHIOPIA
STATE	DEPARTMENT / PLEASE / TRAVEL / EMBASSY / OFFICE / STATE / POST / HOTEL / ADVISE / SUBJECT
KHORRAMSHAHR	SURCHARGE / CONOFF / NIOC / MARSHALL / IRAN / USC / THURS / ABOLITION / WARSHIP / IRAQI
KIGALI	RWANDAN / FONMIN / EMB / PROJECT / PRESIDENT / AMB / AFRICAN / AID / ZAIRE / DEVELOPMENT
KIGALI JOINT	RWANDAN / RURAL / DONOR / COMMUNAL / DEMOGRAPHIC / CENSUS / SALAAM / TOURISM / JUDICIARY / SECGEN
KINGSTON	MINISTER / JAMAICAN / GOVERNMENT / BAUXITE / PRIME / PNP / PARTY / INDUSTRY / CUBA / JLP
KINSHASA	ZAIRE / ZAIRIAN / ANGOLA / PRESIDENT / MILLION / BELGIAN / BANK / AFRICAN / FRENCH / ANGOLAN
N/A      N/A	OCCUPANT / RANSOM / SEMIANNUAL / ICELANDIC / PASTOR / DISPLACE / HAITIAN / SACLANT / SIAM / MEMCON
KINSHASA JOINT	FOREX / CHOLERA / FOODSTUFF / ZAIRIANS / PRESIDENCY / KILOMETER / RETURNEES / SANITARY / HABITAT / VISION
KISANGANI	RETAIL / SABOTAGE / HESITANT / CONFISCATION / SUDANESE / APPREHENSIVE / REPLENISHMENT / APPLAUD / ZAIRIANS / OWE
KUALA LUMPUR	GOM / MALAYSIAN / KUALA / MINISTER / LUMPUR / ASEAN / REFUGEE / SINGAPORE / CONDITIONAL / ENTRANT
KUALA LUMPUR JOINT	MALAYSIAN / QUANG / MALE / INDOCHINESE / OPERATOR / COLT / GRENADE / MINDEF / EMPLOYMENT / VERIFICATION
KUWAIT	KUWAIT / KUWAITI / OIL / ARAB / MAESTRONE / COMPANY / MINISTER / GULF / US / LOCAL
AMEMBASSS KUWAIT	DESERT / PTT / HEREIN / TELETYPE / FIGHTER / MASTER / KUWAITI / KUWAIT / HEREBY / TACTICAL
MANAMA	MINISTER / GULF / BAHRAINI / ARAB / MIDDLE / FORCE / NAVY / REF / USG / KUWAIT
LAGOS	LAGOS / NIGERIAN / NIGERIA / STATE / EMBASSY / AFRICAN / MINISTRY / AMERICAN / AFRICA / OIL
LAHORE	PAKISTAN / PPP / MINISTER / GOVERNMENT / OPPOSITION / PRESS / GOP / CHIEF / ASSEMBLY / PROVINCIAL
AHO	RAINFALL / TUBE / FRONTIER / ILLEGAL / IRRIGATION / DRAIN / DECONTROL / ANTICIPATION / GOP / HARVEST
LAHORE JOINT	CHROME / HUNT / AVERT / FLOWER / LAPSE / BAN / NOTIFICATION / CATALOG / AGITATION / CLASH
LA PAZ JOINT	DEDICATE / VILLA / PDC / BOLIVIAN / AIFLD / ACCELERATION / FLEET / FORESTALL / BOLSTER / CARDINAL
LA PAZ	BOLIVIAN / PRESIDENT / GOVERNMENT / EMBASSY / US / CRUZ / GENERAL / MINISTRY / MINISTER / NATIONAL
LENINGRAD	SOVIET / CONGEN / MOSCOW / OBLAST / REGION / USSR / CITY / POST / HELSINKI / VISA
LIBREVILLE	GOG / PRESIDENT / GABONESE / EMBASSY / FRENCH / OAU / AMBASSADOR / AFRICAN / COMMENT / TOME
LIMA	PERU / GOP / LIMA / PERUVIAN / DEAN / MINISTER / GOVERNMENT / MARCONA / PRESIDENT / PRESS
GENEVA      LIMA	LABATT / EMBARRASS / HANG / ILLUSTRATE / ABOLITION / NATIONWIDE / OVERT / SEIZE / RAILWAY / GOP
LIMA JOINT	ARREARS / FONOFF / OBSTACLE / BACKLOG / MITTED / MAAG / EMBOFFS / LEGISLATIVE / COLLEAGUE / TCN
LISBON	PORTUGUESE / PORTUGAL / LISBON / GOP / GOVERNMENT / PARTY / MINISTER / SUMMARY / PRESIDENT / LABOR
LIVERPOOL	CARRIAGE / ARREST / CONN / GOODYEAR / RESIGNATION / WILD / AFFORD / CREW / SWEDEN / CONGEN
LOME	TOGOLESE / LOME / PRESIDENT / AFRICAN / FRENCH / EMBASSY / AFRICA / AMBASSADOR / ECOWAS / YOUNG
LONDON	LONDON / BRITISH / GOVERNMENT / FCO / PERCENT / LABOR / PARTY / WASHDC / BRUSSELS / MILLION
LONDON H	HOME / MESSAGE / SECRETARY / EXPLAIN / PREDICTION / DELAY / EFFICIENCY / EMPHASIZE / DEMAND / EFFORT
LOURENCO MARQUES	MOZAMBIQUE / FRELIMO / PORTUGUESE / GOVERNMENT / AFRICAN / GENERAL / COMMENT / PEOPLE / PRESS / INDEPENDENCE
LUANDA	MPLA / ANGOLA / FNLA / PORTUGUESE / UNITA / GOVERNMENT / ANGOLAN / ONE / LIBERATION / LISBON
LUBUMBASHI	GECAMINES / ZAIRE / ZAIRIAN / CONSULATE / PRODUCTION / COPPER / LOCAL / FAZ / FRENCH / ONE
LUSAKA	ZAMBIA / ZAMBIAN / AFRICA / PRESIDENT / RHODESIA / AFRICAN / LOW / SWAPO / RHODESIAN / NAMIBIA
LUSAKA JOINT	PARTICIPA / PREOCCUPY / TRAIL / ENGAGEMENT / IBS / AFRO / DUST / REBELLION / MOTIVATION / HERSELF
LUXEMBOURG	MINISTER / PRIME / EUROPEAN / MFA / STEEL / COMMUNITY / EUROPE / BRUSSELS / EEC / GRAND
LYON	FRANCE / CREDIT / ITEM / FIRM / GOOD / FINANCIAL / THOUSAND / HUNDRED / MAYOR / PARIS
MADRAS	INDIA / DELHI / CONGEN / TAMIL / CLOUD / INDIAN / GOI / GRAY / ADMINISTRATOR / PRADESH
MADRID	SPANISH / SPAIN / MADRID / GOVT / PSOE / LABOR / MINISTER / NATO / PRESS / GENERAL
MADRID JOINT	VALENCIA / POLITICO / CONVENIENCE / MEMORANDA / VAIHINGEN / SIDERABLE / COMPILE / DOMAIN / MADRID / TREMENDOUS
MANAGUA	SOMOZA / PRESIDENT / NICARAGUAN / FAO / NATIONAL / FSLN / OPPOSITION / SUMMARY / HUMAN / GENERAL
MANAMA BAHRAIN	INCL / BAHRAINI / PUZZLE / SOFA / REFINE / OBLIGATE / PETTY / CLERK / CALTEX / STRANGE
MAMANA BAHRAIN	READINESS / GLAD / ECON / CONSULT / REGIONAL / KUWAIT / CHARGE / DEPARTURE / HELP / CONSULAR
MANILA	MANILA / PHILIPPINE / GOP / BANK / PROJECT / ADB / PRESIDENT / MILLION / BOARD / DEVELOPMENT
MANILA JOINT	RECONNAISSANCE / FAMILIARIZATION / RECON / FILIPINO / OCA / COMMUNAL / GUAM / MARTIAL / PHIL / MUSLIM
MARACAIBO	CERRO / PANAMANIAN / GTE / HALL / VENEZUELA / CONSULATE / LUCK / ARM / SLIPPAGE / COOK
MARSEILLE	MAYOR / LIST / UNION / RPR / TOUR / ELECTION / CGT / WIN / SOCIALIST / SEAT
MARTINIQUE	FRENCH / FRANCE / CONSULATE / BANK / FORT / ANTILLES / CHASE / ACCOUNT / RDO / COMMUNIST
MASERU	AFRICA / AFRICAN / SOUTHERN / BORDER / PRIMIN / APARTHEID / OAU / BCP / AAI / PRIME
