1973-04-15	RPP / UNSUCCESSFUL / MIRAGE / KILO / FLUID / REASSESSMENT / EXPLOSIVE / PROTECTIVE / CLASSIFICATION / ARAMCO
1973-04-16	CLASSIFICATION / UNCLASSIFIED / CONFIDENTIAL / RAID / USE / COMPLICITY / SECRET / BEIRUT / SWA / STOCKPILE
1973-04-17	CLASSIFICATION / UNCLASSIFIED / CONFIDENTIAL / USE / RAID / EXDIS / ADB / PARADE / REFTEL / SC
1973-04-18	CLASSIFICATION / UNCLASSIFIED / USE / CONFIDENTIAL / SCIATT / CIVAIR / RAID / DECON / DISCREPANCY / LPF
1973-04-19	CLASSIFICATION / UNCLASSIFIED / CONFIDENTIAL / USE / SELF / HELP / TRANCHE / FOURTH / ANTICIPATE / APPROPRIATION
1973-04-20	CLASSIFICATION / CONFIDENTIAL / UNCLASSIFIED / RUSH / USE / RAID / SC / YARG / TRAWLER / LIMDIS
1973-04-21	CLASSIFICATION / CONFIDENTIAL / OMEGA / RUSH / MANDATORY / AFRO / PRIMIN / FANK / RPP / UNCLASSIFIED
1973-04-22	RUSH / RUPEE / NEPALESE / FAIRCHILD / AZIZ / MTT / LOGISTIC / CLASSIFICATION / SUMMARIZE / FABRIC
1973-04-23	CLASSIFICATION / UNCLASSIFIED / CONFIDENTIAL / USE / DECON / BINH / INTELLIGENCE / THOMSON / SCIATT / GEORGETOWN
1973-04-24	CLASSIFICATION / UNCLASSIFIED / CONFIDENTIAL / USE / MEMBERSHIP / UNESCO / APPLICATION / YOUTH / LAUNCH / CERP
1973-04-25	CLASSIFICATION / YOUTH / UNCLASSIFIED / CONFIDENTIAL / USE / USIA / CHEESE / YOUNG / CONDUCIVE / INFORMATIONAL
1973-04-26	CLASSIFICATION / UNCLASSIFIED / CONFIDENTIAL / USE / YOUTH / CEILING / ARMENIAN / AEC / ARVN / EMBOFF
1973-04-27	CLASSIFICATION / UNCLASSIFIED / YOUTH / CONFIDENTIAL / ARMENIAN / CASUALTY / DISCREPANCY / MIRAGE / PARADE / IREX
1973-04-28	CLASSIFICATION / BOY / CONFIDENTIAL / UNCLASSIFIED / SUBJ / IRAQI / NINH / CIP / BRIG / DGCA
1973-04-29	CLASSIFICATION / TRAWLER / CONTEMPORARY / MEDIATE / UNCLASSIFIED / KHMER / ARABIC / CONFISCATE / ANYTIME / INA
1973-04-30	CLASSIFICATION / UNCLASSIFIED / CONFIDENTIAL / EFTA / APOLLO / ALITALIA / USE / CPC / AIRGRAM / NWC
1973-05-01	CLASSIFICATION / REPRESENTATION / CONFIDENTIAL / LIMDIS / TURK / UNCLASSIFIED / OLD / HARMONIZATION / WHOLESALE / UNIDO
1973-05-02	CLASSIFICATION / UNCLASSIFIED / CONFIDENTIAL / USE / EPA / BULK / HAIR / ARVN / POLOFF / SALMON
1973-05-03	CLASSIFICATION / CONFIDENTIAL / UNCLASSIFIED / USE / SECRET / PARADE / SCIATT / NINH / APPLICATION / BRIGADE
1973-05-04	CLASSIFICATION / UNCLASSIFIED / CONFIDENTIAL / RUSH / USE / FONOFF / EXDIS / APC / QUANG / MEMBERSHIP
1973-05-05	CONFIDENTIAL / SECVISIT / CLASSIFICATION / APOLLO / DEAN / ULTIMATUM / POPE / HARVARD / RFE / ELITE
1973-05-06	NCNA / KIDNAP / CLASSIFICATION / WITNESS / OVERT / CONFIDENTIAL / REFUEL / PHILIP / TREMENDOUS / MARITIME
1973-05-07	CLASSIFICATION / UNCLASSIFIED / CONFIDENTIAL / USE / KIDNAPPER / SECVISIT / LIMDIS / EPA / DEAN / DECON
